"","X","Exercise","Group1"
"99",NA,"DB Delta Raises","Shoulders"
"100",NA,"DB Incline Chest Supported Rows","Back"
"101",NA,"DB Incline Cuban Press","Shoulders"
"102",NA,"DB Incline Press","Chest"
"103",NA,"DB Incline Rear Delt Raises","Shoulders"
"104",NA,"DB Incline Row","Back"
"105",NA,"DB Incline Spider Curls","Biceps"
"106",NA,"DB Iron Cross Squats","WholeBody"
"107",NA,"DB Lateral Lunge","UpperLeg"
"108",NA,"DB Preacher Curls","Biceps"
"109",NA,"DB Shrugs","Back"
"110",NA,"DB Single Leg Deadlift","Compound"
"111",NA,"DB Stiff Leg Deadlift","Compound"
"112",NA,"DB Straight Arm Pullover","Chest"
"113",NA,"DB Sumo Squat","UpperLeg"
"114",NA,"DB Zottman Curls","Biceps"
"115",NA,"Deadlift","Compound"
"116",NA,"Decline Bench Press","Chest"
"117",NA,"Dumbbell Squat - Shoulder Hold","UpperLeg"
"118",NA,"Farmer Deadlift","Compound"
"119",NA,"Farmer One Arm Paces","WholeBody"
"120",NA,"Farmer One Arm Row","Back"
"121",NA,"Incline Bench Press","Chest"
"122",NA,"Incline Cuban Press","Shoulders"
"123",NA,"Kettlebell Goblet Squat","UpperLeg"
"124",NA,"Kettlebell Turkish Getup","WholeBody"
"125",NA,"Kettlebell Upside Down Press","Shoulders"
"126",NA,"Lat Pull-Downs","Back"
"127",NA,"Laying Triceps Extensions","Triceps"
"128",NA,"Para Dips","Triceps"
"129",NA,"Para Pushups","Chest"
"130",NA,"Preacher Curls","Biceps"
"131",NA,"RCM Ab Twist ","Core"
"132",NA,"RCM Asst Dips","Triceps"
"133",NA,"RCM Asst Pull Up","Back"
"134",NA,"RCM Incline Bench Press","Chest"
"135",NA,"RCM Plate Loaded Rows","Back"
"136",NA,"RCM sitting ab crunch ","Core"
"137",NA,"RCM Sitting Bench Press","Chest"
"138",NA,"RCM Sitting Bicep Curl","Biceps"
"139",NA,"RCM Sitting Flyes","Chest"
"140",NA,"RCM Sitting Leg Curl","UpperLeg"
"141",NA,"RCM Sitting Rear Delt Flyes","Shoulders"
"142",NA,"RCM Sitting Shoulder Press Machine","Shoulders"
"143",NA,"Rear Delt Flyes","Shoulders"
"144",NA,"Reverse Crunches","Core"
"145",NA,"Skull Crushers","Triceps"
"146",NA,"Slamball High Carry","Shoulders"
"147",NA,"Slamball Over The Shoulder Throw","WholeBody"
"148",NA,"Slamball Overhead Tricep Extension","Triceps"
"149",NA,"Slamball Squat","UpperLeg"
"150",NA,"Slamball Two Arm Curl","Biceps"
"151",NA,"Sloshpipe Elbow Carry","Core"
"152",NA,"Split Squats","UpperLeg"
"153",NA,"Standing Calf Raise","LowerLegs"
"154",NA,"Straight Arm Pulldowns","Back"
"155",NA,"Swingset Pulley Face Pulls","Back"
"156",NA,"Swingset Pulley HL One-arm Row","Back"
"157",NA,"Swingset Pulley HL Press","Chest"
"158",NA,"Swingset Pulley HL Two-arm Chops","Core"
"159",NA,"Swingset Pulley HL Two-arm Row","Back"
"160",NA,"Swingset Pulley Lat Pulldowns","Back"
"161",NA,"Swingset Pulley LH One-arm Row","Back"
"162",NA,"Swingset Pulley Overhead ER","Shoulders"
"163",NA,"Swingset Pulley Overhead IR","Shoulders"
"164",NA,"Swingset Pulley Reverse Star","Back"
"165",NA,"Swingset Pulley Straight-Arm Pulldown","Back"
"166",NA,"Swingset Pulley Tricep Pulldown","Triceps"
"167",NA,"Tate Press","Triceps"
"168",NA,"Tricep Pulldown","Triceps"
"169",NA,"Tubes 45-Second Curls","Biceps"
"170",NA,"Tubes HA Kneeling Crunchs","Core"
"171",NA,"Tubes HA Lat Pull","Back"
"172",NA,"Tubes HA Lat Pull Down","Back"
"173",NA,"Tubes HA One Arm Row ","Back"
"174",NA,"Tubes HA Overhead IR","Shoulders"
"175",NA,"Tubes HA Pulls","Back"
"176",NA,"Tubes HA Push","Chest"
"177",NA,"Tubes HA Shoulder Press","Shoulders"
"178",NA,"Tubes HA Straight Arm Pulldown","Back"
"179",NA,"Tubes HA Tricep Extension","Triceps"
"180",NA,"Tubes LA Bicep Curl","Biceps"
"181",NA,"Tubes LA One Arm","Back"
"182",NA,"Tubes Lat Stretch - Narrow Grip","Back"
"183",NA,"Tubes Lat Stretch - Wide Grip","Back"
"184",NA,"Tubes MA External Rotation","Shoulders"
"185",NA,"Tubes MA Flyes","Back"
"186",NA,"Tubes MA Overhead ER","Shoulders"
"187",NA,"Tubes MA Reverse Star","Back"
"188",NA,"Tubes SA Internal Rotation","Shoulders"
